Date,Unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
4/11/2011,KWh,51.72,57.12,55.92,54.12,53.88,53.16,53.16,57.12,54,51.96,52.44,56.52,56.28,57.24,54.36,54.12,57.12,56.64,57.72,57.36,54.6,60,63.36,77.4,80.04,81.72,78.84,76.08,81.24,85.68,83.04,85.92,86.4,93.72,93.12,91.44,90.12,91.56,94.92,96,93.6,91.32,86.4,88.92,85.8,88.92,84.24,81.84,81.96,81.12,82.92,81.72,83.52,80.64,77.64,74.76,74.52,74.64,72.96,76.44,74.88,73.08,73.08,69.72,71.64,67.44,70.92,63.96,64.32,65.4,64.44,66.6,67.08,75.48,66.24,70.08,70.08,63.96,66.24,66.72,67.56,63.36,62.76,62.16,57.36,59.76,59.76,58.56,56.88,57,55.92,55.08,60.6,54.72,55.08,55.2
4/12/2011,KWh,55.32,55.32,56.52,57.24,54.72,55.08,54,54.6,58.44,57,55.8,54.96,55.08,55.2,56.88,55.44,54,53.52,53.16,53.28,55.44,57.6,57.36,64.32,65.4,72.12,70.2,69,70.8,66,75.72,75.24,77.88,84.48,78.48,80.04,87.6,85.68,81.12,80.28,79.56,83.16,79.8,78,78.12,80.64,79.56,77.76,79.68,81.96,81.48,77.4,77.28,76.56,73.92,70.08,71.52,74.64,73.92,70.44,72.24,70.92,69.6,70.92,74.4,71.28,63.24,63.84,64.44,63.48,70.2,67.68,74.28,69,74.28,75.36,70.8,67.08,65.76,63,67.32,65.76,63.48,61.92,55.56,60.96,59.16,57.84,56.76,57.36,57.84,58.44,56.76,58.56,56.4,56.88
4/13/2011,KWh,60.6,58.92,57.36,57.6,57.72,62.76,63,57.84,60.12,59.4,60.24,58.2,62.28,54.72,57.6,57.36,58.92,61.08,55.08,56.88,58.56,64.44,73.08,75.36,79.8,82.68,84.24,80.64,81.6,80.52,80.64,86.4,90.96,94.2,89.16,89.4,90.36,95.28,95.64,90.24,90.48,95.16,91.32,89.76,86.52,91.8,91.32,89.4,86.76,92.76,90.12,88.08,88.68,83.16,83.52,84.96,82.8,82.56,79.08,81.48,79.44,82.08,84.24,78.24,79.8,74.64,72,71.28,74.88,72.48,72.36,74.76,67.56,71.16,69.6,67.68,67.92,63,69.72,62.76,66.48,64.56,62.52,61.32,56.04,58.32,59.52,56.28,54.72,53.64,55.32,54.84,56.88,55.8,53.64,53.52
4/14/2011,KWh,55.44,54.6,57.6,53.76,53.16,54.12,53.28,55.56,55.68,55.2,51.36,57.96,53.28,58.92,57.36,56.04,56.76,51.72,58.56,58.08,57.48,59.04,66,70.2,81.96,84.12,79.2,78.24,83.4,80.88,87.48,83.16,88.68,92.64,91.56,91.68,93.6,93,91.56,91.68,95.76,92.76,86.76,87.12,83.64,82.8,83.52,84.6,81.6,79.92,78.96,79.08,77.76,77.76,79.44,72.24,71.64,71.76,72.84,73.2,72.72,72.96,73.92,72.48,69.12,67.8,62.88,64.56,63.48,66.96,65.76,63.84,68.04,67.32,69.24,66.36,67.32,66.84,63.48,59.04,62.16,60.6,63.72,61.32,55.56,53.52,55.56,57.84,55.2,58.44,53.88,54.24,54.48,53.04,55.32,56.88
4/15/2011,KWh,59.04,53.88,54.6,53.4,55.2,53.28,57.72,54.12,52.8,54,53.04,54,54.72,57.6,51.24,54.36,52.8,53.28,55.08,57.72,56.88,54,59.04,58.32,66.36,69.72,73.56,67.92,69.72,67.8,69.72,76.2,79.2,83.04,78,77.76,78.96,79.2,79.8,81.24,85.68,80.88,81.12,81.36,81.12,81,83.28,87.24,93.24,93.48,89.76,90,87.24,89.28,84.96,80.76,83.16,78.6,84.6,78.84,78,76.8,79.92,74.64,73.56,73.32,71.4,71.64,66.24,67.32,68.4,67.56,71.64,71.28,75.84,76.2,73.32,73.32,70.68,75,65.52,71.04,66.72,63.72,66.72,59.28,65.88,60.12,59.52,60.36,58.8,63,61.08,60.12,58.08,57.72
4/16/2011,KWh,57.6,55.56,57,60.12,55.56,54.24,56.28,54,55.08,56.04,56.76,57.6,53.64,55.56,54.24,56.64,56.04,59.52,57.24,53.4,55.8,53.88,54.6,58.08,58.8,57.96,55.44,57.72,57.72,56.88,58.68,61.08,58.32,60.36,59.4,60.36,61.8,63.6,62.16,63.72,63.96,65.16,66.12,65.52,68.04,70.68,72.96,73.8,71.16,73.2,66,70.56,63.84,69.72,68.64,63.48,62.88,67.2,63.36,66.84,61.44,65.04,62.88,61.2,61.2,59.16,56.76,60.24,67.2,64.32,61.68,67.44,61.2,62.16,63.12,62.76,58.32,64.08,65.64,60,57.72,57.96,61.56,60.36,58.32,59.16,57.48,54.72,55.8,55.68,57.72,55.2,55.56,58.32,52.2,54.6
4/17/2011,KWh,53.04,54.24,54.84,54.6,57.48,54.24,54.48,53.64,54.84,53.28,58.2,57.36,54.48,54,54.12,53.64,52.68,57,54.84,53.28,52.56,55.08,53.4,54.24,58.56,54.12,53.04,54,54.12,50.64,54.12,52.2,53.4,52.92,52.92,53.52,56.4,59.4,56.88,55.2,55.92,55.8,53.88,55.44,57.96,60.36,54.36,57.72,57.48,58.32,58.2,57.36,60.36,58.8,58.44,57.6,55.56,55.2,55.8,56.28,57.6,60.12,55.68,58.2,54.96,54.24,61.2,59.52,58.56,63.12,62.64,66,58.92,57.12,61.56,58.44,56.64,61.2,59.52,59.04,56.16,57.36,57,57.36,58.44,61.2,59.4,57,56.4,54.6,55.56,60,57.72,54,55.08,57.48
4/18/2011,KWh,55.56,58.56,58.56,54.24,56.76,55.8,54.24,57.6,58.92,57.24,55.68,55.44,57.12,56.4,60.48,54.96,57,54.72,55.8,57.6,59.76,56.4,54.36,54.72,53.88,56.4,54.48,55.32,56.16,55.92,58.44,58.44,56.4,56.88,54.12,57,58.8,56.88,56.28,55.2,55.2,59.88,55.92,55.08,56.28,53.64,56.52,58.2,54.96,54.96,52.68,58.32,56.52,57,55.92,55.68,57.72,53.16,59.64,57.36,53.88,50.04,51.96,51,49.92,54.12,57.12,57.96,54.84,53.52,54.48,55.2,59.76,60.72,56.04,56.88,56.52,54.72,53.64,56.76,57,53.76,53.64,54.72,54.24,53.28,55.32,58.68,54.12,53.76,56.88,55.68,54.96,57.84,59.4,55.32
4/19/2011,KWh,54.24,54.96,55.68,53.04,57.36,56.76,53.52,54,54.36,54.96,53.16,56.16,58.32,53.76,54.48,52.32,54.84,51.96,54.72,57.6,51.24,54.36,55.32,63.72,64.56,69,72.84,64.92,68.88,68.04,71.88,72.72,79.8,85.2,80.16,78.96,79.44,81.24,79.56,79.8,84.48,80.52,79.8,79.68,81.48,80.04,82.2,86.88,84.24,80.04,80.76,79.56,76.56,75.6,76.92,75.84,72.6,71.28,74.28,72.48,73.68,71.16,74.28,71.4,68.4,68.16,61.8,62.64,59.52,63.96,65.88,64.44,67.44,72.24,65.52,67.68,65.28,66.36,60.48,61.32,60,62.04,62.52,61.32,58.68,53.52,57.36,53.28,55.08,57.36,55.92,53.04,53.4,54.72,52.68,54.84
4/20/2011,KWh,57.96,57.96,56.52,54.84,54.72,54.72,54.48,56.64,57.24,55.92,52.56,54.36,54.24,52.44,54.84,57.36,56.4,52.2,54.12,52.8,52.56,54.84,60.6,56.16,62.52,66.6,69,65.04,64.08,67.68,69.96,71.76,76.08,79.2,78,81.12,85.44,84,78.84,76.8,80.28,78.6,79.56,77.4,78.12,78.48,79.08,77.04,78.36,78.24,78.24,78.48,77.88,75.12,75.24,75.24,71.88,70.68,72.6,72,72.12,71.4,69.84,72.48,70.68,68.04,61.56,58.68,62.64,61.8,62.28,64.44,66.48,72.48,65.88,66.72,65.04,60.12,60.6,63.72,63.36,59.76,60.12,55.56,55.08,56.04,58.8,57.6,53.76,53.52,53.28,53.04,54.96,57.36,54.36,52.44
4/21/2011,KWh,55.08,53.76,53.16,56.88,56.64,55.68,54.36,52.08,54.96,54.84,56.76,53.76,54.72,52.44,53.28,55.32,55.08,54,51.12,53.88,51.6,53.52,58.44,63.48,66.48,64.92,69.48,67.68,68.88,72.96,71.4,74.88,77.4,80.88,79.32,82.92,80.04,80.64,81.72,79.68,83.04,83.52,85.56,81.24,80.16,82.08,82.08,81.72,82.08,85.8,81.84,82.56,80.64,78.36,78.48,74.28,72.6,74.52,76.92,73.56,72.36,72.84,71.76,71.16,70.68,68.64,67.68,58.44,62.64,63,63.6,63.96,62.52,68.52,69.12,63.84,64.32,62.28,59.76,57.72,61.68,61.92,60.96,58.08,56.16,57.72,56.76,58.32,55.56,51.48,52.68,54.6,51.6,55.32,57.72,52.68
